Category,Field,Value
"🏠 Casa Bailar – Danse, Fællesskab og Events i Roskilde","Adresse og Kontakt","Adresse: Industrivej 44C, kld., 4000 Roskilde"
"","Telefon","+45 53 64 21 77"
"","E-mail","kontakt@casabailar.dk"
"","Hjemmeside","casabailar.dk"
"","Beskrivelse","Casa Bailar er centralt placeret i Roskilde, kun 5-8 minutters gang fra Trekroner Station, med gode parkeringsmuligheder lige ved døren."
"🕒 Åbningstider","Mandag – Torsdag","10:00 – 22:00"
"","Fredag","Lukket"
"","Lørdag – Søndag","10:00 – 15:00"
"☎️ Telefontider","Mandag & Fredag","09:00 – 11:30"
"","Tirsdag & Torsdag","13:00 – 16:00"
"","Bemærkning","Casa Bailar svarer også i eftermiddag og aften, hvis de er i nærheden af telefonen. Hvis de ikke svarer, ringer de tilbage senere."
"💃 Danseundervisning og Aktiviteter","Pardans","Salsa (cubansk), Bachata Sensual, Dominikansk Bachata, Kizomba, Son for salsadansere"
"","Solodans og Fitness","Zumba, Latin Dance Fitness, Reggaeton, K-Pop, Yoga, Pole, Hoop"
"","Børnehold","MGP (4-9 år), Kids akrobatik & hoop (6-14 år), TikTok (8-12 år), Boys Only (8-10 år), K-Pop (8-17 år)"
"","Familiehold","Dans & rytmik (0-4 år)"
"","Sæsoner","Casa Bailar tilbyder 3-4 sæsoner pr. år, hvor holdene kører over 6-10 gange pr. sæson. Polefitness og hoop-hold kører dog uden pauser det meste af året."
"🎉 Events og Workshops","LatinKiz Night","Social dans med intro-undervisning i bachata, salsa og kizomba. Dans i to lokaler med forskellige musikgenrer."
"","Workshops","Danseworkshops indenfor forskellige stilarter som salsa, kizomba, bachata og mere. Workshops tilbydes på flere niveauer."
"🏢 Lokaleudlejning og Events","Lokaleudlejning","Casa Bailar tilbyder udlejning af deres lokaler til forskellige formål, såsom træning, yoga, fester og firmaevents. Lokalerne kan lejes på time- eller dagsbasis, og der er adgang til faciliteter som loungeområde og gårdhave."
"❓ Ofte Stillede Spørgsmål","Skal man have en partner til pardans?","Nej, det er ikke nødvendigt. Casa Bailar hjælper gerne med at finde en partner, hvis det kræves."
"","Tilbyder I prøvetimer?","Ja, det er muligt at få en prøvetime for at se, om holdet passer til dig, inden tilmelding."
"","Hvad koster det at deltage?","Priserne varierer afhængigt af hold og workshop. Der er også mulighed for drop-in arrangementer, hvor betaling sker via MobilePay eller bankoverførsel."
"","Hvilket tøj og fodtøj anbefales?","Det anbefales at bære tøj, du kan bevæge dig frit i, og indendørs sko, der tillader nem drejning på gulvet."
"🤝 Fællesskab og Atmosfære","Beskrivelse","Casa Bailar er mere end bare en danseskole; det er et fællesskab. Elever hænger ud mellem undervisningerne, danseforældres børn slapper af i sofaerne, og instruktører holder spontant fællesspisning i køkkenet."
